timestamp,activeWord,lastChar,correctChar,layout,testNum,type,length,language,funbox
2022-12-12T07:45:50.070Z,smash ,h,h,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:50.224Z,smash , , ,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:50.512Z,horde ,h,h,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:50.636Z,horde ,o,o,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:51.242Z,horde ,r,r,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:51.441Z,horde ,d,d,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:51.804Z,horde ,e,e,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:52.006Z,horde , , ,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:52.371Z,groom ,g,g,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:52.577Z,groom ,r,r,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:52.841Z,groom ,o,o,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:53.019Z,groom ,o,o,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:53.192Z,groom ,m,m,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:53.330Z,groom , , ,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:53.473Z,swath ,s,s,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:53.824Z,swath ,w,w,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:54.122Z,swath ,a,a,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:54.419Z,swath ,t,t,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:54.522Z,swath ,h,h,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:54.658Z,swath , , ,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:55.316Z,junto ,j,j,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:55.523Z,junto ,u,u,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:55.912Z,junto ,n,n,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:56.074Z,junto ,t,t,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:56.187Z,junto ,o,o,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:56.339Z,junto , , ,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:56.713Z,young ,y,y,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:56.991Z,young ,o,o,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:57.226Z,young ,u,u,semicolemakdh,2,words,10,wordle,null
2022-12-12T07:45:57.555Z,young ,n,n,semicolemakdh,2,words,10,wordle,null
