timestamp,activeWord,lastChar,correctChar,layout,testNum,type,length,language,funbox,cpm
2022-12-12 07:45:33.248,jumbo,u,u,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.195000
2022-12-12 07:45:33.544,jumbo,m,m,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.296000
2022-12-12 07:45:34.182,jumbo,b,b,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.638000
2022-12-12 07:45:34.209,jumbo,o,o,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.027000
2022-12-12 07:45:47.348,rearm ,r,r,semicolemakdh,2,words,10,wordle,null,0 days 00:00:13.139000
2022-12-12 07:45:47.488,rearm ,e,e,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.140000
2022-12-12 07:45:47.641,rearm ,a,a,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.153000
2022-12-12 07:45:47.918,rearm ,r,r,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.277000
2022-12-12 07:45:48.402,rearm ,m,m,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.484000
2022-12-12 07:45:48.619,rearm , , ,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.217000
2022-12-12 07:45:48.762,smash ,s,s,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.143000
2022-12-12 07:45:49.169,smash ,m,m,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.407000
2022-12-12 07:45:49.484,smash ,a,a,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.315000
2022-12-12 07:45:49.777,smash ,s,s,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.293000
2022-12-12 07:45:50.070,smash ,h,h,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.293000
2022-12-12 07:45:50.224,smash , , ,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.154000
2022-12-12 07:45:50.512,horde ,h,h,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.288000
2022-12-12 07:45:50.636,horde ,o,o,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.124000
2022-12-12 07:45:51.242,horde ,r,r,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.606000
2022-12-12 07:45:51.441,horde ,d,d,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.199000
2022-12-12 07:45:51.804,horde ,e,e,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.363000
2022-12-12 07:45:52.006,horde , , ,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.202000
2022-12-12 07:45:52.371,groom ,g,g,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.365000
2022-12-12 07:45:52.577,groom ,r,r,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.206000
2022-12-12 07:45:52.841,groom ,o,o,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.264000
2022-12-12 07:45:53.019,groom ,o,o,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.178000
2022-12-12 07:45:53.192,groom ,m,m,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.173000
2022-12-12 07:45:53.330,groom , , ,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.138000
2022-12-12 07:45:53.473,swath ,s,s,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.143000
2022-12-12 07:45:53.824,swath ,w,w,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.351000
2022-12-12 07:45:54.122,swath ,a,a,semicolemakdh,2,words,10,wordle,null,0 days 00:00:00.298000
