,activeWord,lastChar,acc
236,breed ,r,0.33333333333333326
237,breed ,e,0.33333333333333326
238,breed ,e,0.33333333333333326
239,breed ,d,0.33333333333333326
240,breed , ,0.33333333333333326
241,gaffe ,g,0.0
242,gaffe ,a,0.0
243,gaffe ,f,0.0
244,gaffe ,f,0.0
245,gaffe ,e,0.0
246,gaffe , ,0.0
247,lingo,l,0.0
248,lingo,i,0.0
249,lingo,n,0.0
250,lingo,g,0.0
251,lingo,o,0.0
252,stern ,s,0.33333333333333326
253,stern ,t,0.33333333333333326
254,stern ,e,0.33333333333333326
255,stern ,s,0.33333333333333326
256,stern ,n,0.33333333333333326
257,stern ,r,0.33333333333333326
258,stern ,n,0.33333333333333326
259,stern , ,0.33333333333333326
260,avail ,a,0.0
261,avail ,v,0.0
262,avail ,a,0.0
263,avail ,i,0.0
264,avail ,l,0.0
265,avail , ,0.0
266,loyal ,l,0.16666666666666674
267,loyal ,o,0.16666666666666674
268,loyal ,l,0.16666666666666674
269,loyal ,y,0.16666666666666674
270,loyal ,a,0.16666666666666674
271,loyal ,l,0.16666666666666674
272,loyal , ,0.16666666666666674
273,shift ,s,0.0
274,shift ,h,0.0
275,shift ,i,0.0
276,shift ,f,0.0
277,shift ,t,0.0
278,shift , ,0.0
279,stake ,s,0.0
280,stake ,t,0.0
281,stake ,a,0.0
282,stake ,k,0.0
283,stake ,e,0.0
284,stake , ,0.0
285,short ,s,0.0
286,short ,h,0.0
287,short ,o,0.0
288,short ,r,0.0
289,short ,t,0.0
290,short , ,0.0
291,rearm ,r,0.0
292,rearm ,e,0.0
293,rearm ,a,0.0
294,rearm ,r,0.0
295,rearm ,m,0.0
296,rearm , ,0.0
297,dense ,d,0.0
298,dense ,e,0.0
299,dense ,n,0.0
300,dense ,s,0.0
301,dense ,e,0.0
302,dense , ,0.0
303,glare ,g,0.0
304,glare ,l,0.0
305,glare ,a,0.0
306,glare ,r,0.0
307,glare ,e,0.0
308,glare , ,0.0
309,annoy,a,0.0
310,annoy,n,0.0
311,annoy,n,0.0
312,annoy,o,0.0
313,annoy,y,0.0
314,slope ,s,0.0
315,slope ,l,0.0
316,slope ,o,0.0
317,slope ,p,0.0
