timestamp,activeWord,lastChar,correctChar,source,layout,type,length,language,funbox
2022-12-04T09:45:44.169Z,it,i,i,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:44.914Z,it,t,t,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:45.450Z,from, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:46.263Z,from,f,f,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:47.106Z,from,r,r,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:48.474Z,from,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:49.273Z,from,h,m,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:50.306Z,from,m,m,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:51.837Z,come, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:54.450Z,come,c,c,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:54.489Z,come,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:54.921Z,come,m,m,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:55.573Z,come,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:55.746Z,would, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:56.237Z,would,w,w,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:57.021Z,would,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:57.172Z,would,u,u,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:57.657Z,would,l,l,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:58.714Z,would,d,d,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:45:58.916Z,public, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:46:00.826Z,public,p,p,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:46:02.410Z,public,u,u,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:46:02.943Z,public,v,b,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:46:04.929Z,public,p,p,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:46:05.203Z,public,u,u,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:46:06.380Z,public,b,b,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:46:06.922Z,public,l,l,monkeytype,semicolemak,words,10,english,null
